offset	rva	va	text
0x005EAE60	0x5ebc60	0x105ebc60	%I64d
0x005EAE6C	0x5ebc6c	0x105ebc6c	%I64d 0/0
0x005EAE80	0x5ebc80	0x105ebc80	%I64d 00/00
0x005EAEF6	0x5ebcf6	0x105ebcf6	gDISPLAY
0x005EAF0C	0x5ebd0c	0x105ebd0c	%.10g
0x005EAF18	0x5ebd18	0x105ebd18	%.2f
0x005EAF24	0x5ebd24	0x105ebd24	%I64d00%%
0x005EAF38	0x5ebd38	0x105ebd38	%.2f%%
0x005EAF48	0x5ebd48	0x105ebd48	%.2E
0x005EAF54	0x5ebd54	0x105ebd54	00/00/0000
0x005EAF6C	0x5ebd6c	0x105ebd6c	00/mmm/00
0x005EAF80	0x5ebd80	0x105ebd80	00/mmm
0x005EAF90	0x5ebd90	0x105ebd90	mmm/00
0x005EAFA0	0x5ebda0	0x105ebda0	00:00 AM
0x005EAFB4	0x5ebdb4	0x105ebdb4	00:00:00 AM
0x005EAFCC	0x5ebdcc	0x105ebdcc	00:00
0x005EAFD8	0x5ebdd8	0x105ebdd8	00:00:00
0x005EAFEC	0x5ebdec	0x105ebdec	00/00/0000 00:00
0x005EB010	0x5ebe10	0x105ebe10	0000000:00:00
0x005EB02C	0x5ebe2c	0x105ebe2c	00:00,0
0x005EB03C	0x5ebe3c	0x105ebe3c	00,0E+0
0x005EB064	0x5ebe64	0x105ebe64	September
0x005EB07C	0x5ebe7c	0x105ebe7c	Wednesday
0x005ECC78	0x5eda78	0x105eda78	Rajesh Nandwani
0x005ECC98	0x5eda98	0x105eda98	test
0x005ECCA4	0x5edaa4	0x105edaa4	windows-
0x005ECCB8	0x5edab8	0x105edab8	ent-
0x005EE080	0x5eee80	0x105eee80	Arial
0x005EE49C	0x5ef29c	0x105ef29c	COUNT
0x005EE4B0	0x5ef2b0	0x105ef2b0	ISNA
0x005EE4BC	0x5ef2bc	0x105ef2bc	ISERROR
0x005EE4D4	0x5ef2d4	0x105ef2d4	AVERAGE
0x005EE4FC	0x5ef2fc	0x105ef2fc	COLUMN
0x005EE51C	0x5ef31c	0x105ef31c	STDEV
0x005EE528	0x5ef328	0x105ef328	DOLLAR
0x005EE538	0x5ef338	0x105ef338	FIXED
0x005EE55C	0x5ef35c	0x105ef35c	ATAN
0x005EE570	0x5ef370	0x105ef370	SQRT
0x005EE58C	0x5ef38c	0x105ef38c	LOG10
0x005EE5A8	0x5ef3a8	0x105ef3a8	SIGN
0x005EE5B4	0x5ef3b4	0x105ef3b4	ROUND
0x005EE5C0	0x5ef3c0	0x105ef3c0	LOOKUP
0x005EE5D0	0x5ef3d0	0x105ef3d0	INDEX
0x005EE5DC	0x5ef3dc	0x105ef3dc	REPT
0x005EE5F8	0x5ef3f8	0x105ef3f8	VALUE
0x005EE604	0x5ef404	0x105ef404	TRUE
0x005EE610	0x5ef410	0x105ef410	FALSE
0x005EE63C	0x5ef43c	0x105ef43c	DCOUNT
0x005EE64C	0x5ef44c	0x105ef44c	DSUM
0x005EE658	0x5ef458	0x105ef458	DAVERAGE
0x005EE66C	0x5ef46c	0x105ef46c	DMIN
0x005EE678	0x5ef478	0x105ef478	DMAX
0x005EE684	0x5ef484	0x105ef484	DSTDEV
0x005EE69C	0x5ef49c	0x105ef49c	DVAR
0x005EE6A8	0x5ef4a8	0x105ef4a8	TEXT
0x005EE6B4	0x5ef4b4	0x105ef4b4	LINEST
0x005EE6C4	0x5ef4c4	0x105ef4c4	TREND
0x005EE6D0	0x5ef4d0	0x105ef4d0	LOGEST
0x005EE6E0	0x5ef4e0	0x105ef4e0	GROWTH
0x005EE6F0	0x5ef4f0	0x105ef4f0	GOTO
0x005EE6FC	0x5ef4fc	0x105ef4fc	HALT
0x005EE708	0x5ef508	0x105ef508	RETURN
0x005EE728	0x5ef528	0x105ef528	NPER
0x005EE73C	0x5ef53c	0x105ef53c	RATE
0x005EE748	0x5ef548	0x105ef548	MIRR
0x005EE75C	0x5ef55c	0x105ef55c	RAND
0x005EE768	0x5ef568	0x105ef568	MATCH
0x005EE774	0x5ef574	0x105ef574	DATE
0x005EE780	0x5ef580	0x105ef580	TIME
0x005EE794	0x5ef594	0x105ef594	MONTH
0x005EE7A0	0x5ef5a0	0x105ef5a0	YEAR
0x005EE7AC	0x5ef5ac	0x105ef5ac	WEEKDAY
0x005EE7BC	0x5ef5bc	0x105ef5bc	HOUR
0x005EE7C8	0x5ef5c8	0x105ef5c8	MINUTE
0x005EE7D8	0x5ef5d8	0x105ef5d8	SECOND
0x005EE7F0	0x5ef5f0	0x105ef5f0	AREAS
0x005EE7FC	0x5ef5fc	0x105ef5fc	ROWS
0x005EE808	0x5ef608	0x105ef608	COLUMNS
0x005EE818	0x5ef618	0x105ef618	OFFSET
0x005EE828	0x5ef628	0x105ef628	ABSREF
0x005EE838	0x5ef638	0x105ef638	RELREF
0x005EE848	0x5ef648	0x105ef648	ARGUMENT
0x005EE85C	0x5ef65c	0x105ef65c	SEARCH
0x005EE86C	0x5ef66c	0x105ef66c	TRANSPOSE
0x005EE880	0x5ef680	0x105ef680	ERROR
0x005EE88C	0x5ef68c	0x105ef68c	STEP
0x005EE898	0x5ef698	0x105ef698	TYPE
0x005EE8A4	0x5ef6a4	0x105ef6a4	ECHO
0x005EE8B0	0x5ef6b0	0x105ef6b0	SET.NAME
0x005EE8C4	0x5ef6c4	0x105ef6c4	CALLER
0x005EE8D4	0x5ef6d4	0x105ef6d4	DEREF
0x005EE8E0	0x5ef6e0	0x105ef6e0	WINDOWS
0x005EE8F0	0x5ef6f0	0x105ef6f0	SERIES
0x005EE900	0x5ef700	0x105ef700	DOCUMENTS
0x005EE914	0x5ef714	0x105ef714	ACTIVE.CELL
0x005EE92C	0x5ef72c	0x105ef72c	SELECTION
0x005EE940	0x5ef740	0x105ef740	RESULT
0x005EE950	0x5ef750	0x105ef750	ATAN2
0x005EE95C	0x5ef75c	0x105ef75c	ASIN
0x005EE968	0x5ef768	0x105ef768	ACOS
0x005EE974	0x5ef774	0x105ef774	CHOOSE
0x005EE984	0x5ef784	0x105ef784	HLOOKUP
0x005EE994	0x5ef794	0x105ef794	VLOOKUP
0x005EE9A4	0x5ef7a4	0x105ef7a4	LINKS
0x005EE9B0	0x5ef7b0	0x105ef7b0	INPUT
0x005EE9BC	0x5ef7bc	0x105ef7bc	ISREF
0x005EE9C8	0x5ef7c8	0x105ef7c8	GET.FORMULA
0x005EE9E0	0x5ef7e0	0x105ef7e0	GET.NAME
0x005EE9F4	0x5ef7f4	0x105ef7f4	SET.VALUE
0x005EEA10	0x5ef810	0x105ef810	EXEC
0x005EEA1C	0x5ef81c	0x105ef81c	CHAR
0x005EEA28	0x5ef828	0x105ef828	LOWER
0x005EEA34	0x5ef834	0x105ef834	UPPER
0x005EEA40	0x5ef840	0x105ef840	PROPER
0x005EEA50	0x5ef850	0x105ef850	LEFT
0x005EEA5C	0x5ef85c	0x105ef85c	RIGHT
0x005EEA68	0x5ef868	0x105ef868	EXACT
0x005EEA74	0x5ef874	0x105ef874	TRIM
0x005EEA80	0x5ef880	0x105ef880	REPLACE
0x005EEA90	0x5ef890	0x105ef890	SUBSTITUTE
0x005EEAA8	0x5ef8a8	0x105ef8a8	CODE
0x005EEAB4	0x5ef8b4	0x105ef8b4	NAMES
0x005EEAC0	0x5ef8c0	0x105ef8c0	DIRECTORY
0x005EEAD4	0x5ef8d4	0x105ef8d4	FIND
0x005EEAE0	0x5ef8e0	0x105ef8e0	CELL
0x005EEAEC	0x5ef8ec	0x105ef8ec	ISERR
0x005EEAF8	0x5ef8f8	0x105ef8f8	ISTEXT
0x005EEB08	0x5ef908	0x105ef908	ISNUMBER
0x005EEB1C	0x5ef91c	0x105ef91c	ISBLANK
0x005EEB34	0x5ef934	0x105ef934	FOPEN
0x005EEB40	0x5ef940	0x105ef940	FCLOSE
0x005EEB50	0x5ef950	0x105ef950	FSIZE
0x005EEB5C	0x5ef95c	0x105ef95c	FREADLN
0x005EEB6C	0x5ef96c	0x105ef96c	FREAD
0x005EEB78	0x5ef978	0x105ef978	FWRITELN
0x005EEB8C	0x5ef98c	0x105ef98c	FWRITE
0x005EEB9C	0x5ef99c	0x105ef99c	FPOS
0x005EEBA8	0x5ef9a8	0x105ef9a8	DATEVALUE
0x005EEBBC	0x5ef9bc	0x105ef9bc	TIMEVALUE
0x005EEBE8	0x5ef9e8	0x105ef9e8	GET.DEF
0x005EEBF8	0x5ef9f8	0x105ef9f8	REFTEXT
0x005EEC08	0x5efa08	0x105efa08	TEXTREF
0x005EEC18	0x5efa18	0x105efa18	INDIRECT
0x005EEC2C	0x5efa2c	0x105efa2c	REGISTER
0x005EEC40	0x5efa40	0x105efa40	CALL
0x005EEC4C	0x5efa4c	0x105efa4c	ADD.BAR
0x005EEC5C	0x5efa5c	0x105efa5c	ADD.MENU
0x005EEC70	0x5efa70	0x105efa70	ADD.COMMAND
0x005EEC88	0x5efa88	0x105efa88	ENABLE.COMMAND
0x005EECA8	0x5efaa8	0x105efaa8	CHECK.COMMAND
0x005EECC4	0x5efac4	0x105efac4	RENAME.COMMAND
0x005EECE4	0x5efae4	0x105efae4	SHOW.BAR
0x005EECF8	0x5efaf8	0x105efaf8	DELETE.MENU
0x005EED10	0x5efb10	0x105efb10	DELETE.COMMAND
0x005EED30	0x5efb30	0x105efb30	GET.CHART.ITEM
0x005EED50	0x5efb50	0x105efb50	DIALOG.BOX
0x005EED68	0x5efb68	0x105efb68	CLEAN
0x005EED74	0x5efb74	0x105efb74	MDETERM
0x005EED84	0x5efb84	0x105efb84	MINVERSE
0x005EED98	0x5efb98	0x105efb98	MMULT
0x005EEDA4	0x5efba4	0x105efba4	FILES
0x005EEDB0	0x5efbb0	0x105efbb0	IPMT
0x005EEDBC	0x5efbbc	0x105efbbc	PPMT
0x005EEDC8	0x5efbc8	0x105efbc8	COUNTA
0x005EEDD8	0x5efbd8	0x105efbd8	CANCEL.KEY
0x005EEDF8	0x5efbf8	0x105efbf8	WHILE
0x005EEE04	0x5efc04	0x105efc04	BREAK
0x005EEE10	0x5efc10	0x105efc10	NEXT
0x005EEE1C	0x5efc1c	0x105efc1c	INITIATE
0x005EEE30	0x5efc30	0x105efc30	REQUEST
0x005EEE40	0x5efc40	0x105efc40	POKE
0x005EEE4C	0x5efc4c	0x105efc4c	EXECUTE
0x005EEE5C	0x5efc5c	0x105efc5c	TERMINATE
0x005EEE70	0x5efc70	0x105efc70	RESTART
0x005EEE80	0x5efc80	0x105efc80	HELP
0x005EEE8C	0x5efc8c	0x105efc8c	GET.BAR
0x005EEE9C	0x5efc9c	0x105efc9c	PRODUCT
0x005EEEAC	0x5efcac	0x105efcac	FACT
0x005EEEB8	0x5efcb8	0x105efcb8	GET.CELL
0x005EEECC	0x5efccc	0x105efccc	GET.WORKSPACE
0x005EEEE8	0x5efce8	0x105efce8	GET.WINDOW
0x005EEF00	0x5efd00	0x105efd00	GET.DOCUMENT
0x005EEF1C	0x5efd1c	0x105efd1c	DPRODUCT
0x005EEF30	0x5efd30	0x105efd30	ISNONTEXT
0x005EEF44	0x5efd44	0x105efd44	GET.NOTE
0x005EEF58	0x5efd58	0x105efd58	NOTE
0x005EEF64	0x5efd64	0x105efd64	STDEVP
0x005EEF74	0x5efd74	0x105efd74	VARP
0x005EEF80	0x5efd80	0x105efd80	DSTDEVP
0x005EEF90	0x5efd90	0x105efd90	DVARP
0x005EEF9C	0x5efd9c	0x105efd9c	TRUNC
0x005EEFA8	0x5efda8	0x105efda8	ISLOGICAL
0x005EEFBC	0x5efdbc	0x105efdbc	DCOUNTA
0x005EEFCC	0x5efdcc	0x105efdcc	DELETE.BAR
0x005EEFE4	0x5efde4	0x105efde4	UNREGISTER
0x005EEFFC	0x5efdfc	0x105efdfc	USDOLLAR
0x005EF010	0x5efe10	0x105efe10	FINDB
0x005EF01C	0x5efe1c	0x105efe1c	SEARCHB
0x005EF02C	0x5efe2c	0x105efe2c	REPLACEB
0x005EF040	0x5efe40	0x105efe40	LEFTB
0x005EF04C	0x5efe4c	0x105efe4c	RIGHTB
0x005EF05C	0x5efe5c	0x105efe5c	MIDB
0x005EF068	0x5efe68	0x105efe68	LENB
0x005EF074	0x5efe74	0x105efe74	ROUNDUP
0x005EF084	0x5efe84	0x105efe84	ROUNDDOWN
0x005EF0A0	0x5efea0	0x105efea0	DBCS
0x005EF0AC	0x5efeac	0x105efeac	RANK
0x005EF0B8	0x5efeb8	0x105efeb8	ADDRESS
0x005EF0C8	0x5efec8	0x105efec8	DAYS360
0x005EF0D8	0x5efed8	0x105efed8	TODAY
0x005EF0EC	0x5efeec	0x105efeec	ELSE
0x005EF0F8	0x5efef8	0x105efef8	ELSE.IF
0x005EF108	0x5eff08	0x105eff08	END.IF
0x005EF118	0x5eff18	0x105eff18	FOR.CELL
0x005EF12C	0x5eff2c	0x105eff2c	MEDIAN
0x005EF13C	0x5eff3c	0x105eff3c	SUMPRODUCT
0x005EF154	0x5eff54	0x105eff54	SINH
0x005EF160	0x5eff60	0x105eff60	COSH
0x005EF16C	0x5eff6c	0x105eff6c	TANH
0x005EF178	0x5eff78	0x105eff78	ASINH
0x005EF184	0x5eff84	0x105eff84	ACOSH
0x005EF190	0x5eff90	0x105eff90	ATANH
0x005EF19C	0x5eff9c	0x105eff9c	DGET
0x005EF1A8	0x5effa8	0x105effa8	CREATE.OBJECT
0x005EF1C4	0x5effc4	0x105effc4	VOLATILE
0x005EF1D8	0x5effd8	0x105effd8	LAST.ERROR
0x005EF1F0	0x5efff0	0x105efff0	CUSTOM.UNDO
0x005EF208	0x5f0008	0x105f0008	CUSTOM.REPEAT
0x005EF224	0x5f0024	0x105f0024	FORMULA.CONVERT
0x005EF244	0x5f0044	0x105f0044	GET.LINK.INFO
0x005EF260	0x5f0060	0x105f0060	TEXT.BOX
0x005EF274	0x5f0074	0x105f0074	INFO
0x005EF280	0x5f0080	0x105f0080	GROUP
0x005EF28C	0x5f008c	0x105f008c	GET.OBJECT
0x005EF2AC	0x5f00ac	0x105f00ac	PAUSE
0x005EF2B8	0x5f00b8	0x105f00b8	RESUME
0x005EF2C8	0x5f00c8	0x105f00c8	FREQUENCY
0x005EF2DC	0x5f00dc	0x105f00dc	ADD.TOOLBAR
0x005EF2F4	0x5f00f4	0x105f00f4	DELETE.TOOLBAR
0x005EF314	0x5f0114	0x105f0114	RESET.TOOLBAR
0x005EF330	0x5f0130	0x105f0130	EVALUATE
0x005EF344	0x5f0144	0x105f0144	GET.TOOLBAR
0x005EF35C	0x5f015c	0x105f015c	GET.TOOL
0x005EF370	0x5f0170	0x105f0170	SPELLING.CHECK
0x005EF390	0x5f0190	0x105f0190	ERROR.TYPE
0x005EF3A8	0x5f01a8	0x105f01a8	APP.TITLE
0x005EF3BC	0x5f01bc	0x105f01bc	WINDOW.TITLE
0x005EF3D8	0x5f01d8	0x105f01d8	SAVE.TOOLBAR
0x005EF3F4	0x5f01f4	0x105f01f4	ENABLE.TOOL
0x005EF40C	0x5f020c	0x105f020c	PRESS.TOOL
0x005EF424	0x5f0224	0x105f0224	REGISTER.ID
0x005EF43C	0x5f023c	0x105f023c	GET.WORKBOOK
0x005EF458	0x5f0258	0x105f0258	AVEDEV
0x005EF468	0x5f0268	0x105f0268	BETADIST
0x005EF47C	0x5f027c	0x105f027c	GAMMALN
0x005EF48C	0x5f028c	0x105f028c	BETAINV
0x005EF49C	0x5f029c	0x105f029c	BINOMDIST
0x005EF4B0	0x5f02b0	0x105f02b0	CHIDIST
0x005EF4C0	0x5f02c0	0x105f02c0	CHIINV
0x005EF4D0	0x5f02d0	0x105f02d0	COMBIN
0x005EF4E0	0x5f02e0	0x105f02e0	CONFIDENCE
0x005EF4F8	0x5f02f8	0x105f02f8	CRITBINOM
0x005EF50C	0x5f030c	0x105f030c	EVEN
0x005EF518	0x5f0318	0x105f0318	EXPONDIST
0x005EF52C	0x5f032c	0x105f032c	FDIST
0x005EF538	0x5f0338	0x105f0338	FINV
0x005EF544	0x5f0344	0x105f0344	FISHER
0x005EF554	0x5f0354	0x105f0354	FISHERINV
0x005EF568	0x5f0368	0x105f0368	FLOOR
0x005EF574	0x5f0374	0x105f0374	GAMMADIST
0x005EF588	0x5f0388	0x105f0388	GAMMAINV
0x005EF59C	0x5f039c	0x105f039c	CEILING
0x005EF5AC	0x5f03ac	0x105f03ac	HYPGEOMDIST
0x005EF5C4	0x5f03c4	0x105f03c4	LOGNORMDIST
0x005EF5DC	0x5f03dc	0x105f03dc	LOGINV
0x005EF5EC	0x5f03ec	0x105f03ec	NEGBINOMDIST
0x005EF608	0x5f0408	0x105f0408	NORMDIST
0x005EF61C	0x5f041c	0x105f041c	NORMSDIST
0x005EF630	0x5f0430	0x105f0430	NORMINV
0x005EF640	0x5f0440	0x105f0440	NORMSINV
0x005EF654	0x5f0454	0x105f0454	STANDARDIZE
0x005EF674	0x5f0474	0x105f0474	PERMUT
0x005EF684	0x5f0484	0x105f0484	POISSON
0x005EF694	0x5f0494	0x105f0494	TDIST
0x005EF6A0	0x5f04a0	0x105f04a0	WEIBULL
0x005EF6B0	0x5f04b0	0x105f04b0	SUMXMY2
0x005EF6C0	0x5f04c0	0x105f04c0	SUMX2MY2
0x005EF6D4	0x5f04d4	0x105f04d4	SUMX2PY2
0x005EF6E8	0x5f04e8	0x105f04e8	CHITEST
0x005EF6F8	0x5f04f8	0x105f04f8	CORREL
0x005EF708	0x5f0508	0x105f0508	COVAR
0x005EF714	0x5f0514	0x105f0514	FORECAST
0x005EF728	0x5f0528	0x105f0528	FTEST
0x005EF734	0x5f0534	0x105f0534	INTERCEPT
0x005EF748	0x5f0548	0x105f0548	PEARSON
0x005EF760	0x5f0560	0x105f0560	STEYX
0x005EF76C	0x5f056c	0x105f056c	SLOPE
0x005EF778	0x5f0578	0x105f0578	TTEST
0x005EF784	0x5f0584	0x105f0584	PROB
0x005EF790	0x5f0590	0x105f0590	DEVSQ
0x005EF79C	0x5f059c	0x105f059c	GEOMEAN
0x005EF7AC	0x5f05ac	0x105f05ac	HARMEAN
0x005EF7BC	0x5f05bc	0x105f05bc	SUMSQ
0x005EF7C8	0x5f05c8	0x105f05c8	KURT
0x005EF7D4	0x5f05d4	0x105f05d4	SKEW
0x005EF7E0	0x5f05e0	0x105f05e0	ZTEST
0x005EF7EC	0x5f05ec	0x105f05ec	LARGE
0x005EF7F8	0x5f05f8	0x105f05f8	SMALL
0x005EF804	0x5f0604	0x105f0604	QUARTILE
0x005EF818	0x5f0618	0x105f0618	PERCENTILE
0x005EF830	0x5f0630	0x105f0630	PERCENTRANK
0x005EF848	0x5f0648	0x105f0648	MODE
0x005EF854	0x5f0654	0x105f0654	TRIMMEAN
0x005EF868	0x5f0668	0x105f0668	TINV
0x005EF874	0x5f0674	0x105f0674	MOVIE.COMMAND
0x005EF890	0x5f0690	0x105f0690	GET.MOVIE
0x005EF8A4	0x5f06a4	0x105f06a4	CONCATENATE
0x005EF8BC	0x5f06bc	0x105f06bc	POWER
0x005EF8C8	0x5f06c8	0x105f06c8	PIVOT.ADD.DATA
0x005EF8E8	0x5f06e8	0x105f06e8	GET.PIVOT.TABLE
0x005EF908	0x5f0708	0x105f0708	GET.PIVOT.FIELD
0x005EF928	0x5f0728	0x105f0728	GET.PIVOT.ITEM
0x005EF948	0x5f0748	0x105f0748	RADIANS
0x005EF958	0x5f0758	0x105f0758	DEGREES
0x005EF968	0x5f0768	0x105f0768	SUBTOTAL
0x005EF97C	0x5f077c	0x105f077c	SUMIF
0x005EF988	0x5f0788	0x105f0788	COUNTIF
0x005EF998	0x5f0798	0x105f0798	COUNTBLANK
0x005EF9B0	0x5f07b0	0x105f07b0	SCENARIO.GET
0x005EF9CC	0x5f07cc	0x105f07cc	OPTIONS.LISTS.GET
0x005EF9F0	0x5f07f0	0x105f07f0	ISPMT
0x005EF9FC	0x5f07fc	0x105f07fc	DATEDIF
0x005EFA0C	0x5f080c	0x105f080c	DATESTRING
0x005EFA24	0x5f0824	0x105f0824	NUMBERSTRING
0x005EFA40	0x5f0840	0x105f0840	ROMAN
0x005EFA4C	0x5f084c	0x105f084c	OPEN.DIALOG
0x005EFA64	0x5f0864	0x105f0864	SAVE.DIALOG
0x005EFA7C	0x5f087c	0x105f087c	VIEW.GET
0x005EFA90	0x5f0890	0x105f0890	GETPIVOTDATA
0x005EFAAC	0x5f08ac	0x105f08ac	HYPERLINK
0x005EFAC0	0x5f08c0	0x105f08c0	PHONETIC
0x005EFAD4	0x5f08d4	0x105f08d4	AVERAGEA
0x005EFAE8	0x5f08e8	0x105f08e8	MAXA
0x005EFAF4	0x5f08f4	0x105f08f4	MINA
0x005EFB00	0x5f0900	0x105f0900	STDEVPA
0x005EFB10	0x5f0910	0x105f0910	VARPA
0x005EFB1C	0x5f091c	0x105f091c	STDEVA
0x005EFB2C	0x5f092c	0x105f092c	VARA
0x005EFB38	0x5f0938	0x105f0938	BAHTTEXT
0x005EFB4C	0x5f094c	0x105f094c	THAIDAYOFWEEK
0x005EFB68	0x5f0968	0x105f0968	THAIDIGIT
0x005EFB7C	0x5f097c	0x105f097c	THAIMONTHOFYEAR
0x005EFB9C	0x5f099c	0x105f099c	THAINUMSOUND
0x005EFBB8	0x5f09b8	0x105f09b8	THAINUMSTRING
0x005EFBD4	0x5f09d4	0x105f09d4	THAISTRINGLENGTH
0x005EFBF8	0x5f09f8	0x105f09f8	ISTHAIDIGIT
0x005EFC10	0x5f0a10	0x105f0a10	ROUNDBAHTDOWN
0x005EFC2C	0x5f0a2c	0x105f0a2c	ROUNDBAHTUP
0x005EFC44	0x5f0a44	0x105f0a44	THAIYEAR
0x005EFC60	0x5f0a60	0x105f0a60	USERDEFINED
0x005EFE50	0x5f0c50	0x105f0c50	uMinus
0x005EFE60	0x5f0c60	0x105f0c60	uPlus
0x005EFED0	0x5f0cd0	0x105f0cd0	#N/A
0x005EFEDC	0x5f0cdc	0x105f0cdc	#NUM!
0x005EFEE8	0x5f0ce8	0x105f0ce8	#NAME?
0x005EFEF8	0x5f0cf8	0x105f0cf8	#REF!
0x005EFF04	0x5f0d04	0x105f0d04	#VALUE!
0x005EFF14	0x5f0d14	0x105f0d14	#DIV/0!
0x005EFF24	0x5f0d24	0x105f0d24	#NULL!
0x005EFF34	0x5f0d34	0x105f0d34	%ls%dF
0x005EFF44	0x5f0d44	0x105f0d44	uPercent 
0x005F0328	0x5f1128	0x105f1128	_(* #,##0.00_);_(* \(#,##0.00\);_(* "-"??_);_(@_)
0x005F0390	0x5f1190	0x105f1190	_(* #,##0_);_(* \(#,##0\);_(* "-"_);_(@_)
0x005F03E8	0x5f11e8	0x105f11e8	_("$"* #,##0.00_);_("$"* \(#,##0.00\);_("$"* "-&"??_);_(@_)
0x005F0460	0x5f1260	0x105f1260	_("$"* #,##0_);_("$"* \(#,##0\);_("$"* "-"_);_(@_)
0x005F04C8	0x5f12c8	0x105f12c8	_-* #,##0.00_-;\-* #,##0.00_-;_-* "-"??_-;_-@_-
0x005F0528	0x5f1328	0x105f1328	_-* #,##0_-;\-* #,##0_-;_-* "-"_-;_-@_-
0x005F0578	0x5f1378	0x105f1378	_-* #,##0.00\ "
